YEAR;MO;DY;ALLSKY_SFC_SW_DIFF;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;ALLSKY_SFC_SW_DNI;ALLSKY_KT;ALLSKY_SFC_LW_DWN;T2MDEW;T2MWET;TS;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS50M;ALLSKY_SFC_UV_INDEX;ALLSKY_SFC_PAR_TOT
2015;5;2;26.609;54.852;7.045;3.175;0.56;7.255;15.41;16.65;18.21;13.21;86.55;2.28;83.75;1.71;2.62;2.9;2.33;24.341
2015;5;3;21.766;47.642;70.003;30.854;0.49;80.311;16.36;17.63;18.73;14.0;86.19;7.04;83.75;1.59;2.97;2.39;2.16;21.922
2015;5;4;23.885;36.862;69.036;10.397;0.38;78.163;15.4;16.66;18.13;13.13;86.27;11.81;83.88;1.51;2.55;2.49;1.64;16.368
2015;5;5;21.946;33.766;68.491;0.7747;0.35;78.168;14.79;15.88;17.58;12.6;88.14;3.43;83.97;1.42;2.12;2.6;1.59;15.353
2015;5;6;20.129;30.506;68.741;0.6538;0.32;79.116;14.96;15.69;16.87;12.74;91.54;6.64;83.99;1.28;1.93;2.39;1.43;13.932
2015;5;7;20.542;39.338;69.298;21.206;0.41;74.974;14.08;15.63;17.89;12.07;83.41;0.25;83.94;1.62;2.3;2.74;1.84;17.765
2015;5;8;17.628;37.853;70.742;26.474;0.39;78.156;14.79;15.99;17.9;12.59;86.87;0.3;83.94;1.35;1.95;2.32;1.82;17.201
2015;5;9;19.572;35.693;62.011;14.513;0.37;76.387;14.92;16.02;17.76;12.7;87.81;0.39;83.92;1.37;2.36;2.41;1.45;15.833
2015;5;10;19.034;3.666;6.671;19.313;0.38;78.586;14.38;15.83;18.11;12.28;84.29;10.04;83.88;1.37;1.94;2.4;1.73;16.817
2015;5;11;15.209;22.711;70.361;0.5314;0.24;79.579;14.42;15.14;16.25;12.28;91.56;25.16;83.94;1.84;2.52;3.32;1.17;10.627
2015;5;12;15.847;22.325;68.359;0.5153;0.23;79.774;14.62;15.55;17.02;12.45;89.5;16.27;83.92;1.23;2.04;2.47;1.1;10.522
2015;5;13;1.728;29.213;69.631;0.9617;0.31;79.651;14.85;15.68;17.1;12.63;90.54;25.89;83.93;1.32;1.91;2.45;1.48;13.538
